id,eg_source,eg_title,eg_link,json
1,bbc,Total Number of Votes for Each Leadership Candidate,https://twitter.com/BBCPolitics/status/1141682737960685569,"    {'id':1,'eg_title':Total Number of Votes for Each Leadership Candidate,'eg_source':bbc,'eg_link':https://twitter.com/BBCPolitics/status/1141682737960685569},"
2,beautifulnews,Most of the World can Now Afford Mobile Internet,https://informationisbeautiful.net/beautifulnews/1148-afford-mobile-internet/,"    {'id':2,'eg_title':Most of the World can Now Afford Mobile Internet,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1148-afford-mobile-internet/},"
3,beautifulnews,Australia has a Mobile Shower and Laundry Service for the Homeless,https://informationisbeautiful.net/beautifulnews/632-mobile-service-homeless/,"    {'id':3,'eg_title':Australia has a Mobile Shower and Laundry Service for the Homeless,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/632-mobile-service-homeless/},"
4,beautifulnews,Rhino Populations Are Growing,https://informationisbeautiful.net/beautifulnews/1320-rhino-populations/,"    {'id':4,'eg_title':Rhino Populations Are Growing,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1320-rhino-populations/},"
5,beautifulnews,Healthy Life Expectancy is Increasing in Almost Every Country 2000-2016,https://informationisbeautiful.net/beautifulnews/680-healthy-life-expectancy/,"    {'id':5,'eg_title':Healthy Life Expectancy is Increasing in Almost Every Country 2000-2016,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/680-healthy-life-expectancy/},"
6,beautifulnews,india's solar power capacity quadruples,https://informationisbeautiful.net/beautifulnews/18-india-solar-capacity/,"    {'id':6,'eg_title':india's solar power capacity quadruples,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/18-india-solar-capacity/},"
7,beautifulnews,No Children Died in Car Accidents,https://informationisbeautiful.net/beautifulnews/1419-norway-road-safety/,"    {'id':7,'eg_title':No Children Died in Car Accidents,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1419-norway-road-safety/},"
8,beautifulnews,Giant Floating Baloons Will Provide Internet in Kenya,https://informationisbeautiful.net/beautifulnews/1413-floating-internet-balloons/,"    {'id':8,'eg_title':Giant Floating Baloons Will Provide Internet in Kenya,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1413-floating-internet-balloons/},"
9,beautifulnews,Scotland Generates Enough Wind Energy to Power All Its Homes,https://informationisbeautiful.net/beautifulnews/1076-scotland-wind-energy/,"    {'id':9,'eg_title':Scotland Generates Enough Wind Energy to Power All Its Homes,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1076-scotland-wind-energy/},"
10,beautifulnews,Soy&Oat Milk Are the Most Sustainable,https://informationisbeautiful.net/beautifulnews/1040-soy-oat-milk/,"    {'id':10,'eg_title':Soy&Oat Milk Are the Most Sustainable,'eg_source':beautifulnews,'eg_link':https://informationisbeautiful.net/beautifulnews/1040-soy-oat-milk/},"
